"","state","year","X","st","partycontrol","democracy_mcmc","democracy_mcmc_sd","democracy_mcmc_se","democracy_additive","democracy_mcmc_lib","democracy_mcmc_lib_sd","democracy_mcmc_lib_se","democracy_additive_lib","unified_r","unified_d","divided_govt","democracy_full_factanal","pct_black","pct_white","pct_latino","pct_black_lag","pct_latino_lag","pct_black_change_ratio","pct_latino_change_ratio","pct_black_change","pct_latino_change","icpsr","hou_chamber","sen_chamber","hou_dem","hou_rep","hou_majority","sen_dem","sen_rep","sen_majority","h_diffs","s_diffs","h_distance","s_distance","h_dem_sd","s_dem_sd","h_rep_sd","s_rep_sd","h_chamber_sd","s_chamber_sd","polarization_sen","polarization_hou","polarization_avg","rolldemleg","rolldemvs","competition_allleg","competition_votes","competition_index","competition_allleg_lag","competition_votes_lag","competition_index_lag","cost_of_voting_index","vep_turnout","Democratic","Republican","period","id","placebo"
"540","New Hampshire",2007,1413,"NH",2,0.181493510997851,0.292910537886491,0.00926264450386355,-0.194251153328007,0.223839924853618,0.299358509284218,0.00946654726290792,-0.0509516325540682,0,1,0,0.935676614829296,1.38014841452451,96.084462187819,2.57074070123577,1.14975309413677,2.11159207400925,0.200386780051001,0.217441916399479,0.230395320387742,0.459148627226521,4,-0.635,-0.955,-0.96,0.583,-0.96,-1.321,0.754,-1.321,1.543,2.075,0.917792769278711,1.27331799526226,0.282299884901838,0.363025861302533,0.339223451220828,0.223889190399142,0.815273710316221,1.12460063382458,1.19433021895245,0.0831146312868372,0.638722425119644,NA,NA,1.26714263736494,NA,1.3740715841197,0.318578617460327,NA,0.417848307662529,NA,NA,1,0,8,29,0
"541","New Hampshire",2008,1414,"NH",2,0.186694787516444,0.303892323666234,0.00960991906226391,-0.208660037570043,0.209176408198921,0.31198423144357,0.00986580765418803,-0.0547310498848609,0,1,0,0.940388746256576,1.43992048064223,95.9301804232217,2.67511509180747,1.20841378444347,2.23079850649668,0.191578993205029,0.19917378643424,0.23150669619876,0.444316585310792,4,-0.644,-0.955,-0.964,0.599,-0.964,-1.321,0.754,-1.321,1.563,2.075,0.92098222983726,1.27331799526226,0.275416622843445,0.363025861302533,0.339277983222629,0.223889190399142,0.819463423219081,1.12460063382458,1.19433021895245,0.12166839686598,0.657999307909216,47.1944427490234,51.4534454345703,1.02554836997425,1.09088573257218,1.20974543228744,1.26714263736494,1.10201622236868,1.3740715841197,-1.46,0.7252814,1,0,9,29,0
"542","New Hampshire",2009,1415,"NH",2,0.178151548579752,0.30652028832306,0.00969302260152385,-0.197459331013335,0.233724386474446,0.300486534483562,0.00950221855178785,-0.0517931302120769,0,1,0,0.920040374776133,1.48392753753129,95.8120267274117,2.76042434400981,1.26839441444383,2.34341066406262,0.169925947822753,0.177951601203453,0.215533123087454,0.41701367994719,4,-0.563,-0.955,-0.99,0.607,-0.99,-1.321,0.683,-1.321,1.597,2.004,0.965605593110686,1.22937839532374,0.278968582697491,0.373484975005824,0.352419527291711,0.191335678351705,0.854239932822199,1.08470650371479,1.05535722415463,0.187209798350524,0.621283511252577,NA,NA,1.02554836997425,NA,1.20974543228744,1.26714263736494,NA,1.3740715841197,NA,NA,1,0,10,29,0
"543","New Hampshire",2010,1416,"NH",2,0.117609263243466,0.302319415378394,0.0095601793348626,0.225062434564211,0.19564720425527,0.300458334257544,0.00950132678234037,0.0590333610440723,0,1,0,0.983664235746938,1.53209160045627,95.7229932212503,2.803847620147,1.34180278189438,2.47158910690934,0.141815787781602,0.134431128664886,0.190288818561895,0.33225851323766,4,-0.548,-0.955,-0.989,0.617,-0.989,-1.321,0.669,-1.321,1.606,1.99,0.967237678289072,1.23424822218407,0.278748802663904,0.373484975005824,0.348882311876596,0.199708522656881,0.854974037637085,1.08787080472893,1.02795409841985,0.204558992861138,0.616256545640494,44.402774810791,51.3737373352051,0.732428315383982,1.10181484837565,1.02266544893359,1.02554836997425,1.09088573257218,1.20974543228744,NA,0.4619778,1,0,11,29,0
"544","New Hampshire",2011,1417,"NH",1,0.109343039523845,0.304247833212298,0.00962116126121884,0.205677739846891,0.179176458490719,0.306504280804651,0.00969251639934525,0.0539488000235161,0,0,1,0.944197596395492,1.59316528834224,95.5157619818785,2.92561289863218,1.38014841452451,2.57074070123577,0.154343454353145,0.138042781687713,0.213016873817729,0.354872197396407,4,0.608,0.671,-0.916,0.746,0.746,-1.483,0.817,0.817,1.662,2.3,0.885929516240872,1.01474830883943,0.298722623426894,0.354936317608367,0.332205749076423,0.292214558877673,0.815543955898401,0.997805674601254,1.63473759683287,0.312509536482739,0.973623566657802,NA,NA,0.732428315383982,NA,1.02266544893359,1.02554836997425,NA,1.20974543228744,NA,NA,0,0,12,29,0
"545","New Hampshire",2012,1418,"NH",1,-0.0423230848917991,0.309331871143557,0.00978193265695354,0.104798510011597,-0.0012004952594114,0.31408680626161,0.00993229690794723,0.0274884091180058,0,0,1,0.815764427825873,1.66262407191489,95.310640431586,3.04720018848661,1.43992048064223,2.67511509180747,0.154663812527568,0.139091248005983,0.222703591272657,0.37208509667914,4,0.615,0.599,-0.924,0.748,0.748,-1.825,0.697,0.697,1.672,2.522,0.887005989318895,1.00843465179895,0.297212511853134,0.468677411382616,0.325447506704112,0.244157953702568,0.818178301129722,1.00048977950658,2.06927287634154,0.331786419272311,1.20052964780693,42.1944427490234,50.1231498718262,0.500557466550652,1.27328820326035,0.956597050369608,0.732428315383982,1.10181484837565,1.02266544893359,-0.577,0.7089582,0,0,13,29,0
"546","New Hampshire",2013,1419,"NH",1,-0.0808189140357902,0.307565911656972,0.00972608811462163,0.287836604952688,-0.0548250543475445,0.292302060329274,0.00924340275400453,0.0754988821425205,0,0,1,0.739799919837515,1.71156516324921,95.144736028801,3.15259357978384,1.48392753753129,2.76042434400981,0.153402116990588,0.142068460099277,0.227637625717929,0.392169235774031,4,-0.541,0.338,-0.97,0.706,-0.97,-1.077,0.817,0.817,1.676,1.894,1.04877222037045,1.13119896541008,0.342027815489401,0.368077239391636,0.345213489727409,0.2302952505853,0.926972755258208,1.00218132767834,0.840046950524205,0.339497172388139,0.589772061456172,NA,NA,0.500557466550652,NA,0.956597050369608,0.732428315383982,NA,1.02266544893359,NA,NA,0,0,14,29,0
"547","New Hampshire",2014,1420,"NH",1,-0.0983194098876117,0.32294362516679,0.0102123741135873,0.18604250636534,-0.0423374481234478,0.299732938765508,0.00947838776274783,0.0487985232590019,0,0,1,0.778512415772362,1.76353985964581,94.9817038552028,3.26248124073287,1.53209160045627,2.803847620147,0.151066854697597,0.163572947862917,0.231448259189536,0.458633620585869,4,-0.538,0.338,-0.978,0.71,-0.978,-1.077,0.817,0.817,1.688,1.894,1.05362518010629,1.13119896541008,0.344900686192458,0.368077239391636,0.344553598535218,0.2302952505853,0.931339393840852,1.00218132767834,0.840046950524205,0.362629431735625,0.601338191129915,NA,NA,0.500557466550652,NA,0.956597050369608,0.500557466550652,1.27328820326035,0.956597050369608,NA,0.48363,0,0,15,29,0
"548","New Hampshire",2015,1421,"NH",1,-0.109929165727605,0.299639186827278,0.0094754230661492,0.18604250636534,-0.0571298128933055,0.320713757890973,0.0101418595188727,0.0487985232590019,0,0,1,0.762010887288468,1.8350731470049,94.7856474725933,3.40397350993377,1.59316528834224,2.92561289863218,0.151841030201191,0.163507828231563,0.241907858662663,0.478360611301596,4,0.52,0.456,-0.989,0.825,0.825,-1.106,0.844,0.844,1.814,1.95,1.0860842895925,1.1527498715611,0.342256015900141,0.290794425326258,0.359216811683774,0.268856048527134,0.963546653026143,1.02881663779629,0.949659453463331,0.605518154884227,0.777588804173779,NA,NA,NA,NA,NA,0.500557466550652,NA,0.956597050369608,NA,NA,0,0,16,29,0
"549","New Hampshire",2016,1422,"NH",1,-0.108062092328016,0.312786548447342,0.00989117914556203,0.58784912680605,-0.0677407718994807,0.302035176927225,0.00955119092581968,0.154191479397169,0,0,1,0.681675561525964,1.92921589472453,94.5940086731277,3.55902189290527,1.66262407191489,3.04720018848661,0.160344017215267,0.167964581504197,0.266591822809639,0.511821704418665,4,0.52,0.456,-0.99,0.825,0.825,-1.106,0.844,0.844,1.815,1.95,1.08801977578983,1.1527498715611,0.341677874753778,0.290794425326258,0.359591974855545,0.268856048527134,0.965206216233695,1.02881663779629,0.949659453463331,0.607445843163184,0.778552648313257,NA,NA,NA,NA,NA,0.500557466550652,NA,0.956597050369608,0.622,0.7142257,0,0,17,29,0
